getRealRedoAction,3
getSecondaryHandles,113
setColumnCount,4
addOtherFileItems,1
getPerpendicularDrawGrowth,145
installSheet,1
updateUI,1
createStrokeDashesButton,4
addClipboardItems,1
setActionMap,18
maybeFireBoundsInvalidated,3
getStringRecursive,1447
initComponentDefaults,1
addPrintFileItems,1
basicCreateView,1
getStrokeTotalMiterLimit,34
setValue,1
fireFigureAdded,6
getSelectAreaTracker,1
addFindItems,1
getCursor,7
addLoadFileItems,1
views,5
grow,106
createMenuBuilder,1
showSheet,1
setActiveView,10
addDisposable,1
isShowAsSheet,6
getKey,49
createView,2
addNewFileItems,1
willChange,31
getPathIterator,27
fireFigureChanged,31
addCloseFileItems,1
draw,223
getLabels,1
createStrokeCapButton,3
getScaleFactor,1
clearLogs,1
invalidatePath,211
getSelectedFont,1
updateApplicationEnabled,6
compare,23
fireSelectionChanged,5
installToolBarPrefsHandler,3
isDocumentModalitySupported,3
focusLost,4
loadAllFonts,1
createStrokeTypeButton,1
addStrokeButtonsTo,1
start,2
getIconProperty,147
setTool,7
isDrawingDoubleBuffered,33
setPoint,54
setPopupAlpha,3
getIconWidth,3
put,72
remove,64
styleFromMessageType,1
launch,2
addOtherEditItems,1
setInputMap,17
basicGetBounds,23
getChildCount,35
setViewRenderingHints,56
getUIClassID,1
setAction,3
setSelectedFont,1
boundsInvalidated,6
isFigureSelected,1
createFontStyleItalicButton,3
createStrokeJoinButton,3
getLocation,18
addNotify,5
getBaseClass,106
isConstrainerVisible,101
getName,150
installApplicationListeners,7
addOutputFormat,4
mouseDragged,31
createToolBars,1
addOtherWindowItems,1
getTool,132
mousePressed,6
createStrokePlacementButton,1
addSelectionItems,1
getWindingRule,8
getStroke,34
paintComponent,33
show,2
ancestorMoved,15
getSelectedFigures,78
getFamilyList,4
isClosed,196
itemStateChanged,12
applyDefaultAttributesTo,3
createStrokeWidthButton,2
getInvalidatedArea,104
addToSelection,3
drawText,34
fireToolDone,3
addCompositeFigureListener,2
paint,33
getInstance,5
getView,917
setApplication,2
isEnabled,841
updateFamilyList,1
destroyView,1
mouseExited,15
fireAreaInvalidated,132
getControlPoint,2
updateViewTitle,3
isNativeSheetSupported,2
removeCompositeFigureListener,1
west,4
hasSignificantEdits,1
stop,3
call,1
setPopupMenu,1
north,4
mouseEntered,9
isVisible,34
getBezierPath,4
setEnabled,7
getTransformOwner,2
getEmptyDrawingMessage,1
installListeners,1
requestUserAttention,1
viewToDrawing,345
updateFaceList,1
installColors,1
setShowing,2
createHelpMenu,1
setHasSignificantEdits,5
fireAttributeChanged,72
drawConstrainer,33
getPresentationName,34
createEventHandler,5
layoutContainer,8
repaintDrawingArea,65
drawCaps,7
clearHoverHandles,7
