addPropertyChangeListener,262
getHandleAttribute,128
installBorder,1
initLabels,1
lineout,3
init,4
createApplicationListener,7
size,231
createOpenRecentFileMenu,1
updateConnection,2
getToolTipTextProperty,263
findHandle,82
getOpenURIsFromMainArgs,1
updateActiveView,1
currentSegment,14
getSelectionCount,197
getRealRedoAction,3
getSecondaryHandles,120
setColumnCount,4
addOtherFileItems,1
getPerpendicularDrawGrowth,162
installSheet,1
updateUI,1
createStrokeDashesButton,4
addClipboardItems,1
setActionMap,18
maybeFireBoundsInvalidated,2
getStringRecursive,1447
initComponentDefaults,1
addPrintFileItems,1
basicCreateView,1
getStrokeTotalMiterLimit,23
setValue,1
fireFigureAdded,6
getSelectAreaTracker,1
addFindItems,1
getCursor,17
addLoadFileItems,1
views,3
grow,61
createMenuBuilder,1
showSheet,1
setActiveView,10
addDisposable,1
isShowAsSheet,6
getKey,49
createView,2
addNewFileItems,1
willChange,18
getPathIterator,7
fireFigureChanged,16
addCloseFileItems,1
setTo,8
center,16
draw,172
getLabels,1
createStrokeCapButton,3
getScaleFactor,1
invalidatePath,169
getSelectedFont,1
updateApplicationEnabled,6
compare,12
fireSelectionChanged,4
installToolBarPrefsHandler,3
isDocumentModalitySupported,3
focusLost,4
loadAllFonts,1
createStrokeTypeButton,1
addStrokeButtonsTo,1
start,2
getIconProperty,147
setTool,7
isDrawingDoubleBuffered,27
setPoint,48
setPopupAlpha,3
getIconWidth,3
put,72
remove,34
styleFromMessageType,1
launch,2
addOtherEditItems,1
setInputMap,17
basicGetBounds,21
getChildCount,26
setViewRenderingHints,42
getUIClassID,1
setAction,3
setSelectedFont,1
boundsInvalidated,4
isFigureSelected,3
createFontStyleItalicButton,3
createStrokeJoinButton,3
getLocation,16
addNotify,6
getBaseClass,106
isConstrainerVisible,113
getConnectors,6
getName,150
installApplicationListeners,7
addOutputFormat,4
mouseDragged,15
createToolBars,1
addOtherWindowItems,1
getTool,102
mousePressed,6
createStrokePlacementButton,1
addSelectionItems,1
getStroke,23
paintComponent,27
polarToPoint2D,4
handleConnect,1
show,2
ancestorMoved,15
getSelectedFigures,89
getFamilyList,4
isClosed,53
itemStateChanged,12
applyDefaultAttributesTo,3
createStrokeWidthButton,2
getInvalidatedArea,66
addToSelection,2
drawText,23
fireToolDone,3
addCompositeFigureListener,2
paint,28
getInstance,5
getView,922
setApplication,2
isEnabled,766
updateFamilyList,1
mouseExited,18
fireAreaInvalidated,79
getControlPoint,8
updateViewTitle,3
isNativeSheetSupported,2
removeCompositeFigureListener,1
chop,4
west,4
hasSignificantEdits,1
stop,1
call,1
setPopupMenu,1
ovalAngleToPoint,4
getStartFigure,7
north,4
repaintConnectors,51
mouseEntered,12
isVisible,20
setEnabled,7
getEmptyDrawingMessage,1
installListeners,1
requestUserAttention,1
viewToDrawing,483
updateFaceList,1
installColors,1
setShowing,2
createHelpMenu,1
setHasSignificantEdits,5
fireAttributeChanged,72
getStartPoint,3
drawConstrainer,27
getPresentationName,34
createEventHandler,5
layoutContainer,7
repaintDrawingArea,35
drawCaps,7
clearHoverHandles,7
firePropertyChange,68
installColorsAndFont,1
getOwner,98
addToolListener,23
getApplication,63
createDrawing,2
hashCode,2295
createSheet,1
getEndConnector,11
getLayer,24
getTitle,3
getBundle,442
addFontButtonsTo,1
removePropertyChangeListener,157
setDefaultAttribute,3
addEnumClass,8
clone,28
createFontStyleUnderlineButton,3
constrainPoint,196
removeUndoableEditListener,1
paintIcon,37
getRecentURIs,3
configureAction,146
uninstallSheet,3
initActions,1
removeHandleListener,18
setActiveHandle,3
getEditor,1585
toolStarted,6
getString,375
registerEventHandler,242
getAcceleratorProperty,73
isShowing,108
getModel,12
southWest,4
setHasUnsavedChanges,2
drawHandles,27
createUI,2
basicAdd,6
$SWITCH_TABLE$org$jhotdraw$draw$AttributeKeys$StrokeType,362
getNodeCount,129
updatePreview,1
uninstallViewListeners,7
pointToAngle,4
focusGained,4
updateView,24
getPrototype,9
getTextProperty,80
addOtherViewItems,1
createImage,4
addPreferencesItems,1
drawDrawingNonvolatileBuffered,27
getMenuBuilder,5
removeFigureListener,22
areaInvalidated,66
fireBoundsInvalidated,2
fireOptionSelected,2
drawBackground,27
getStrokeTotalWidth,339
$SWITCH_TABLE$org$jhotdraw$draw$AttributeKeys$StrokePlacement,182
creationFinished,3
isDone,35
createEditorColorButton,6
findStart,2
access$9,2
getHandlesize,16
isToolDoneAfterCreation,3
access$6,4
createStrokeDecorationButton,1
construct,1
generateFallbackKeys,566
access$2,16
optionSelected,1
access$1,47
access$0,173
figureAdded,6
updateActions,4
getPerpendicularHitGrowth,146
updateEnabledState,817
isAnimated,3
addColorButtonsTo,2
setTarget,20
updateHoverHandles,95
