addAlignmentButtonsTo,2
addPropertyChangeListener,262
getHandleAttribute,160
installBorder,1
initLabels,1
lineout,6
init,4
createApplicationListener,7
size,412
createOpenRecentFileMenu,1
updateConnection,2
getToolTipTextProperty,263
findHandle,112
getOpenURIsFromMainArgs,1
updateActiveView,1
currentSegment,14
getSelectionCount,197
getRealRedoAction,3
getSecondaryHandles,145
setColumnCount,4
addOtherFileItems,1
getPerpendicularDrawGrowth,118
installSheet,1
updateUI,1
createStrokeDashesButton,4
addClipboardItems,1
setActionMap,18
maybeFireBoundsInvalidated,2
getStringRecursive,1447
initComponentDefaults,1
addPrintFileItems,1
basicCreateView,1
getStrokeTotalMiterLimit,20
setValue,1
fireFigureAdded,6
getSelectAreaTracker,1
addFindItems,1
getCursor,13
addLoadFileItems,1
views,3
grow,49
createMenuBuilder,1
showSheet,1
setActiveView,10
addDisposable,1
isShowAsSheet,6
getKey,49
createView,2
addNewFileItems,1
willChange,14
getPathIterator,7
fireFigureChanged,12
addCloseFileItems,1
setTo,11
center,19
draw,168
getLabels,1
createStrokeCapButton,3
getScaleFactor,1
invalidatePath,178
getSelectedFont,1
updateApplicationEnabled,6
compare,12
fireSelectionChanged,4
installToolBarPrefsHandler,3
isDocumentModalitySupported,3
focusLost,4
loadAllFonts,1
createStrokeTypeButton,1
addStrokeButtonsTo,1
start,2
getIconProperty,147
setTool,7
isDrawingDoubleBuffered,22
setPoint,54
setPopupAlpha,3
getIconWidth,3
put,72
remove,26
styleFromMessageType,1
launch,2
addOtherEditItems,1
setInputMap,17
basicGetBounds,21
getChildCount,23
setViewRenderingHints,34
getUIClassID,1
setAction,3
setSelectedFont,1
boundsInvalidated,4
isFigureSelected,2
createFontStyleItalicButton,3
createStrokeJoinButton,3
getLocation,16
addNotify,6
getBaseClass,106
isConstrainerVisible,125
getConnectors,6
getName,150
installApplicationListeners,7
addOutputFormat,4
mouseDragged,11
createToolBars,1
addOtherWindowItems,1
getTool,108
mousePressed,6
createStrokePlacementButton,1
addSelectionItems,1
getStroke,20
paintComponent,22
polarToPoint2D,4
handleConnect,1
show,2
ancestorMoved,15
getSelectedFigures,119
getFamilyList,4
isClosed,53
itemStateChanged,12
applyDefaultAttributesTo,3
createStrokeWidthButton,2
getInvalidatedArea,54
addToSelection,2
drawText,20
fireToolDone,3
addCompositeFigureListener,2
paint,23
getInstance,5
getView,1005
setApplication,2
isEnabled,766
updateFamilyList,1
mouseExited,15
fireAreaInvalidated,63
getControlPoint,11
updateViewTitle,3
isNativeSheetSupported,2
removeCompositeFigureListener,1
chop,4
west,4
hasSignificantEdits,1
stop,1
call,1
